class,section,title,teacherName,day,start,end
101-916-DW,1,Introductory Molecular Biology,Karissa Agan,1,1200,1330
101-916-DW,1,Introductory Molecular Biology,Karissa Agan,2,1000,1130
101-916-DW,2,Introductory Molecular Biology,Karissa Agan,1,1430,1600
101-916-DW,2,Introductory Molecular Biology,Karissa Agan,2,1000,1130
101-921-DW,1,Human Biology,Earleen Victorian,1,1000,1130
101-921-DW,1,Human Biology,Earleen Victorian,4,830,1000
101-921-DW,2,Human Biology,Earleen Victorian,1,1130,1300
101-921-DW,2,Human Biology,Earleen Victorian,4,830,1000
101-921-DW,3,Human Biology,Earleen Victorian,2,1430,1600
101-921-DW,3,Human Biology,Earleen Victorian,4,1300,1430
101-921-DW,4,Human Biology,Earleen Victorian,2,1430,1600
101-921-DW,4,Human Biology,Earleen Victorian,4,1430,1600
101-921-DW,3001,Human Biology,Greta Scipio,4,1830,2000
101-921-DW,3001,Human Biology,Greta Scipio,4,2000,2130
101-921-DW,3002,Human Biology,Greta Scipio,2,1830,2000
101-921-DW,3002,Human Biology,Greta Scipio,2,2000,2130
101-942-DW,1,Human Biology II,Josef Syring,1,1000,1130
101-942-DW,1,Human Biology II,Josef Syring,3,1000,1130
101-942-DW,1,Human Biology II,Josef Syring,5,1300,1500
101-942-DW,2,Human Biology II,Josef Syring,1,1000,1130
101-942-DW,2,Human Biology II,Josef Syring,3,1000,1130
101-942-DW,2,Human Biology II,Josef Syring,5,1030,1230
101-986-DW,1,Human Body for Nurses II,Elaine Perez,1,1000,1130
101-986-DW,1,Human Body for Nurses II,Elaine Perez,4,1200,1400
101-986-DW,1,Human Body for Nurses II,Elaine Perez,5,1130,1300
101-986-DW,2,Human Body for Nurses II,Elaine Perez,1,1000,1130
101-986-DW,2,Human Body for Nurses II,Elaine Perez,4,1500,1700
101-986-DW,2,Human Body for Nurses II,Elaine Perez,5,1130,1300
101-986-DW,3,Human Body for Nurses II,Tawanna Boeding,1,1600,1730
101-986-DW,3,Human Body for Nurses II,Tawanna Boeding,2,1430,1600
101-986-DW,3,Human Body for Nurses II,Tawanna Boeding,4,800,1000
101-986-DW,4,Human Body for Nurses II,Tawanna Boeding,1,1600,1730
101-986-DW,4,Human Body for Nurses II,Tawanna Boeding,2,1430,1600
101-986-DW,4,Human Body for Nurses II,Tawanna Boeding,5,1500,1700
101-986-DW,5,Human Body for Nurses II,Rosenda Grammer,1,1200,1330
101-986-DW,5,Human Body for Nurses II,Rosenda Grammer,4,1600,1730
101-986-DW,5,Human Body for Nurses II,Rosenda Grammer,5,900,1100
101-986-DW,6,Human Body for Nurses II,Rosenda Grammer,1,1200,1330
101-986-DW,6,Human Body for Nurses II,Rosenda Grammer,4,1600,1730
101-986-DW,6,Human Body for Nurses II,Rosenda Grammer,5,1200,1400
101-988-DW,1,Human Bodyfor Nurses IV,Greta Scipio,1,1400,1600
101-988-DW,1,Human Bodyfor Nurses IV,Greta Scipio,2,1200,1400
101-988-DW,2,Human Bodyfor Nurses IV,Greta Scipio,1,1400,1600
101-988-DW,2,Human Bodyfor Nurses IV,Greta Scipio,2,1500,1700
101-988-DW,3,Human Bodyfor Nurses IV,Pok Gupton,1,1000,1200
101-988-DW,3,Human Bodyfor Nurses IV,Pok Gupton,2,900,1100
101-988-DW,4,Human Bodyfor Nurses IV,Pok Gupton,1,1000,1200
101-988-DW,4,Human Bodyfor Nurses IV,Pok Gupton,3,1000,1200
101-BWT-03,1,Science and technology: intro to the science of biology,See Salim,2,1130,1300
101-BWT-03,1,Science and technology: intro to the science of biology,See Salim,4,1000,1130
101-BWT-03,2,Science and technology: intro to the science of biology,See Salim,2,1130,1300
101-BWT-03,2,Science and technology: intro to the science of biology,See Salim,4,1130,1300
101-BWT-03,3,Science and technology: intro to the science of biology,Diedre Fleetwood,1,1430,1600
101-BWT-03,3,Science and technology: intro to the science of biology,Diedre Fleetwood,3,1430,1600
101-BXD-05,1,Biology of Radiology,Adolph Chamberland,1,1000,1200
101-BXD-05,1,Biology of Radiology,Adolph Chamberland,3,1430,1600
101-BXD-05,1,Biology of Radiology,Adolph Chamberland,5,1430,1600
101-BXD-05,2,Biology of Radiology,Adolph Chamberland,1,1300,1500
101-BXD-05,2,Biology of Radiology,Adolph Chamberland,3,1430,1600
101-BXD-05,2,Biology of Radiology,Adolph Chamberland,5,1430,1600
101-BXD-05,3,Biology of Radiology,Adolph Chamberland,1,1530,1730
101-BXD-05,3,Biology of Radiology,Adolph Chamberland,3,1300,1430
101-BXD-05,3,Biology of Radiology,Adolph Chamberland,5,1300,1430
101-BZE-05,1,General Biology II,Ghislaine Kranz,1,1130,1300
101-BZE-05,1,General Biology II,Ghislaine Kranz,3,1430,1600
101-BZE-05,1,General Biology II,Ghislaine Kranz,4,1000,1300
101-BZE-05,2,General Biology II,Ghislaine Kranz,1,1130,1300
101-BZE-05,2,General Biology II,Ghislaine Kranz,3,1430,1600
101-BZE-05,2,General Biology II,Ghislaine Kranz,4,1430,1730
101-BZE-05,3,General Biology II,Cherish Tongue,2,1130,1300
101-BZE-05,3,General Biology II,Cherish Tongue,3,900,1200
101-BZE-05,3,General Biology II,Cherish Tongue,4,1130,1300
101-BZE-05,4,General Biology II,Cherish Tongue,2,1130,1300
101-BZE-05,4,General Biology II,Cherish Tongue,3,1430,1730
101-BZE-05,4,General Biology II,Cherish Tongue,4,1130,1300
101-BZE-05,5,General Biology II,Elaine Perez,1,1300,1430
101-BZE-05,5,General Biology II,Elaine Perez,2,1430,1730
101-BZE-05,5,General Biology II,Elaine Perez,4,1000,1130
101-BZE-05,3001,General Biology II,Maryanne Carmean,2,1730,1900
101-BZE-05,3001,General Biology II,Maryanne Carmean,4,1730,1900
101-BZE-05,3001,General Biology II,Maryanne Carmean,4,1900,2200
101-BZE-05,3002,General Biology II,Maryanne Carmean,2,1730,1900
101-BZE-05,3002,General Biology II,Maryanne Carmean,2,1900,2200
101-BZE-05,3002,General Biology II,Maryanne Carmean,4,1730,1900
101-BZH-05,1,Human Anatomy and Physiology,Diedre Fleetwood,2,1130,1300
101-BZH-05,1,Human Anatomy and Physiology,Diedre Fleetwood,3,900,1100
101-BZH-05,1,Human Anatomy and Physiology,Diedre Fleetwood,4,1000,1130
101-BZH-05,2,Human Anatomy and Physiology,Rosenda Grammer,2,1200,1400
101-BZH-05,2,Human Anatomy and Physiology,Rosenda Grammer,3,1300,1430
101-BZH-05,2,Human Anatomy and Physiology,Rosenda Grammer,4,1300,1430
101-BZH-05,3,Human Anatomy and Physiology,Rosenda Grammer,2,1500,1700
101-BZH-05,3,Human Anatomy and Physiology,Rosenda Grammer,3,1300,1430
101-BZH-05,3,Human Anatomy and Physiology,Rosenda Grammer,4,1300,1430
101-BZH-05,4,Human Anatomy and Physiology,Leanora Magallanes,2,830,1000
101-BZH-05,4,Human Anatomy and Physiology,Leanora Magallanes,3,1200,1400
101-BZH-05,4,Human Anatomy and Physiology,Leanora Magallanes,5,830,1000
101-BZH-05,5,Human Anatomy and Physiology,Leanora Magallanes,2,830,1000
101-BZH-05,5,Human Anatomy and Physiology,Leanora Magallanes,3,1500,1700
101-BZH-05,5,Human Anatomy and Physiology,Leanora Magallanes,5,830,1000
101-BZH-05,6,Human Anatomy and Physiology,Diedre Fleetwood,2,900,1100
101-BZH-05,6,Human Anatomy and Physiology,Diedre Fleetwood,2,1130,1300
101-BZH-05,6,Human Anatomy and Physiology,Diedre Fleetwood,4,1000,1130
101-BZH-05,3001,Human Anatomy and Physiology,Adolph Chamberland,2,1730,1900
101-BZH-05,3001,Human Anatomy and Physiology,Adolph Chamberland,2,1900,2100
101-BZH-05,3001,Human Anatomy and Physiology,Adolph Chamberland,4,1730,1900
101-NYA-05,1,General Biology I,Earleen Victorian,1,1300,1430
101-NYA-05,1,General Biology I,Earleen Victorian,2,900,1100
101-NYA-05,1,General Biology I,Earleen Victorian,4,1000,1130
101-NYA-05,2,General Biology I,Earleen Victorian,1,1300,1430
101-NYA-05,2,General Biology I,Earleen Victorian,2,1200,1400
101-NYA-05,2,General Biology I,Earleen Victorian,4,1000,1130
101-NYA-05,3,General Biology I,Leanora Magallanes,1,900,1100
101-NYA-05,3,General Biology I,Leanora Magallanes,2,1130,1300
101-NYA-05,3,General Biology I,Leanora Magallanes,4,1130,1300
101-NYA-05,4,General Biology I,Leanora Magallanes,1,1200,1400
101-NYA-05,4,General Biology I,Leanora Magallanes,2,1130,1300
101-NYA-05,4,General Biology I,Leanora Magallanes,4,1130,1300
101-NYA-05,5,General Biology I,Roseanna Apicella,1,1000,1130
101-NYA-05,5,General Biology I,Roseanna Apicella,3,1000,1130
101-NYA-05,6,General Biology I,Karissa Agan,2,1500,1700
101-NYA-05,6,General Biology I,Karissa Agan,3,1300,1430
101-NYA-05,6,General Biology I,Karissa Agan,5,1300,1430
101-NYA-05,7,General Biology I,See Salim,2,1300,1430
101-NYA-05,7,General Biology I,See Salim,3,900,1100
101-NYA-05,7,General Biology I,See Salim,5,1300,1430
101-NYA-05,8,General Biology I,See Salim,2,1300,1430
101-NYA-05,8,General Biology I,See Salim,3,1200,1400
101-NYA-05,8,General Biology I,See Salim,5,1300,1430
101-NYA-05,9,General Biology I,Pok Gupton,1,1300,1430
101-NYA-05,9,General Biology I,Pok Gupton,3,1500,1700
101-NYA-05,9,General Biology I,Pok Gupton,4,1000,1130
101-NYA-05,10,General Biology I,Pok Gupton,1,1300,1430
101-NYA-05,10,General Biology I,Pok Gupton,4,1000,1130
101-NYA-05,10,General Biology I,Pok Gupton,5,900,1100
101-NYA-05,11,General Biology I,Tawanna Boeding,1,1130,1300
101-NYA-05,11,General Biology I,Tawanna Boeding,3,1130,1300
101-NYA-05,11,General Biology I,Tawanna Boeding,4,1200,1400
101-NYA-05,12,General Biology I,Tawanna Boeding,1,1130,1300
101-NYA-05,12,General Biology I,Tawanna Boeding,3,1130,1300
101-NYA-05,12,General Biology I,Tawanna Boeding,5,1200,1400
101-NYA-05,13,General Biology I,Roseanna Apicella,1,1000,1130
101-NYA-05,13,General Biology I,Roseanna Apicella,3,1000,1130
101-NYA-05,13,General Biology I,Roseanna Apicella,4,900,1100
101-NYA-05,3001,General Biology I,Greta Scipio,1,1730,1900
101-NYA-05,3001,General Biology I,Greta Scipio,3,1730,1900
101-NYA-05,3001,General Biology I,Greta Scipio,3,1900,2100
101-NYA-05,3002,General Biology I,Greta Scipio,1,1730,1900
101-NYA-05,3002,General Biology I,Greta Scipio,1,1900,2100
101-NYA-05,3002,General Biology I,Greta Scipio,3,1730,1900
101-NYA-05,3003,General Biology I,Diedre Fleetwood,2,1730,1900
101-NYA-05,3003,General Biology I,Diedre Fleetwood,2,1900,2100
101-NYA-05,3003,General Biology I,Diedre Fleetwood,4,1730,1900
101-NYA-05,3004,General Biology I,Diedre Fleetwood,2,1730,1900
101-NYA-05,3004,General Biology I,Diedre Fleetwood,4,1730,1900
101-NYA-05,3004,General Biology I,Diedre Fleetwood,4,1900,2100
109-101-MQ,7,Physical Activity and Health,Jamie Pedretti,1,1200,1400
109-101-MQ,8,Physical Activity and Health,Linsey Tweedie,2,1400,1600
